sample_id,cluster
18R649_0010,immune-depleted
18R654_0015,immune-depleted
18R669_0001,immune-cold
18R670_0002,immune-stromal
18R674_0006,immune-depleted
18R678_0010,immune-depleted
18R683_0015,immune-depleted
18R694_0002,immune-hot
18R699_0007,immune-stromal
18R700_0008,immune-stromal
18R429_0009,immune-stromal
18R298_0010,immune-depleted
18R647_0008,immune-depleted
18R648_0009,immune-stromal
18R295_0003,immune-stromal
18R296_0008,immune-depleted
18R178_0022,immune-depleted
18R177_0021,immune-depleted
18R299_0025,immune-depleted
18R300_0027,immune-hot
18R659_0020,immune-hot
18R661_0021,immune-depleted
18R301_0002,immune-depleted
18R302_0004,immune-hot
18R663_0027,immune-depleted
18R664_0001,immune-depleted
18R307_0013,immune-cold
18R319_0014,immune-stromal
18R685_0018,immune-stromal
18R642_0003,immune-depleted
18R645_0006,immune-hot
18R653_0014,immune-stromal
18R432_0012,immune-depleted
18R434_0014,immune-depleted
18R460_0001,immune-depleted
18R695_0003,immune-stromal
18R473_0014,immune-depleted
18R443_0022,immune-depleted
18R436_0016,immune-depleted
18R421_0001,immune-depleted
18R463_0004,immune-hot
18R472_0013,immune-stromal
18R426_0006,immune-depleted
18R427_0007,immune-depleted
18R508_0011,immune-depleted
18R433_0013,immune-cold
18R435_0015,immune-stromal
18R437_0018,immune-cold
18R449_0023,immune-stromal
18R438_0019,immune-cold
18R440_0020,immune-hot
18R456_0002,immune-depleted
18R457_0023,immune-stromal
18R458_0025,immune-depleted
18R459_0027,immune-depleted
18R461_0002,immune-depleted
18R462_0003,immune-depleted
18R464_0005,immune-stromal
18R468_0009,immune-depleted
18R469_0010,immune-depleted
18R470_0011,immune-stromal
18R471_0012,immune-depleted
18R474_0015,immune-stromal
18R475_0016,immune-depleted
18R476_0018,immune-depleted
18R640_0001,immune-stromal
18R701_0009,immune-hot
18R478_0020,immune-depleted
18R479_0021,immune-stromal
18R480_0022,immune-hot
18R702_0010,immune-hot
18R656_0018,immune-depleted
18R657_0019,immune-cold
18R673_0005,immune-hot
18R465_0006,immune-cold
18R454_0027,immune-cold
18R477_0019,immune-depleted
18R507_0004,immune-depleted
18R428_0008,immune-hot
18R705_0013,immune-depleted
GSM5889737,immune-depleted
GSM5889743,immune-stromal
GSM5889750,immune-depleted
GSM5889757,immune-depleted
GSM5889760,immune-cold
GSM5889771,immune-depleted
GSM5889781,immune-cold
GSM5889784,immune-depleted
GSM5889785,immune-stromal
GSM5889802,immune-depleted
GSM5889823,immune-depleted
GSM5889824,immune-stromal
GSM5889837,immune-depleted
GSM5889838,immune-cold
GSM5889843,immune-stromal
GSM5889858,immune-cold
GSM5890281,immune-depleted
GSM5889883,immune-depleted
GSM5889885,immune-depleted
GSM5889913,immune-depleted
GSM5889914,immune-hot
GSM5889917,immune-hot
GSM5889918,immune-stromal
GSM5889923,immune-depleted
GSM5889927,immune-depleted
GSM5890283,immune-cold
GSM5889932,immune-depleted
GSM5889939,immune-depleted
GSM5889946,immune-stromal
GSM5889952,immune-stromal
GSM5889953,immune-stromal
GSM5889969,immune-depleted
GSM5889971,immune-depleted
GSM5890006,immune-stromal
GSM5890008,immune-cold
GSM5890011,immune-hot
GSM5890018,immune-hot
GSM5890019,immune-depleted
GSM5890023,immune-cold
GSM5890033,immune-hot
GSM5890035,immune-depleted
GSM5890036,immune-depleted
GSM5890042,immune-cold
GSM5890046,immune-cold
GSM5890048,immune-cold
GSM5890061,immune-depleted
GSM5890064,immune-cold
GSM5890066,immune-hot
GSM5890068,immune-stromal
GSM5890074,immune-depleted
GSM5890075,immune-hot
GSM5890080,immune-depleted
GSM5890084,immune-stromal
GSM5890097,immune-stromal
GSM5890100,immune-depleted
GSM5890106,immune-stromal
GSM5890108,immune-stromal
GSM5890112,immune-depleted
GSM5890116,immune-stromal
GSM5890140,immune-stromal
GSM5890155,immune-hot
GSM5890175,immune-cold
GSM5890188,immune-depleted
GSM5890191,immune-depleted
GSM5890197,immune-cold
GSM5890201,immune-stromal
GSM5890225,immune-depleted
GSM5890230,immune-cold
GSM5890238,immune-cold
GSM5890250,immune-cold
GSM5890265,immune-stromal
GSM5890272,immune-depleted
GSM5890276,immune-depleted
GSM5889740,immune-stromal
GSM5889815,immune-hot
GSM5889964,immune-hot
GSM5889984,immune-depleted
GSM5889996,immune-stromal
GSM5890081,immune-cold
GSM5890082,immune-stromal
GSM5890113,immune-hot
GSM5890119,immune-depleted
GSM5890185,immune-cold
GSM5890227,immune-depleted
GSM5889844,immune-depleted
GSM5889994,immune-stromal
GSM5890022,immune-stromal
GSM5890037,immune-stromal
GSM5890094,immune-depleted
GSM5890242,immune-cold
GSM5890266,immune-cold
GSM5890267,immune-stromal
GSM5890270,immune-stromal
GSM5889736,immune-stromal
GSM5889741,immune-stromal
GSM5889748,immune-depleted
GSM5889749,immune-depleted
GSM5889758,immune-depleted
GSM5889766,immune-depleted
GSM5889788,immune-hot
GSM5889864,immune-stromal
GSM5889869,immune-hot
GSM5889934,immune-depleted
GSM5889941,immune-depleted
GSM5890009,immune-depleted
GSM5890027,immune-hot
GSM5890087,immune-hot
GSM5890088,immune-hot
GSM5890089,immune-depleted
GSM5890091,immune-depleted
GSM5890104,immune-depleted
GSM5890115,immune-hot
GSM5890157,immune-stromal
GSM5890183,immune-cold
GSM5890186,immune-stromal
GSM5890205,immune-stromal
GSM5890210,immune-hot
GSM5890228,immune-stromal
GSM5890257,immune-depleted
